 XGSE    YGSE   ZGSE    R    BXGSE   BYGSE   BZGSE   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   1.739   0.232   1.110   2.076    -2301.59     -347.77     2279.07     3257.67
   1.746   0.233   1.103   2.078    -2257.78     -343.38     2297.13     3239.18
   1.753   0.234   1.096   2.081    -2214.27     -339.01     2315.01     3221.36
   1.760   0.235   1.089   2.083    -2171.03     -334.67     2332.73     3204.21
   1.767   0.236   1.081   2.085    -2128.07     -330.35     2350.28     3187.73
   1.773   0.237   1.074   2.087    -2085.37     -326.06     2367.69     3171.91
   1.780   0.238   1.066   2.088    -2042.92     -321.79     2384.95     3156.75
   1.786   0.239   1.059   2.090    -2000.71     -317.55     2402.07     3142.23
   1.792   0.240   1.051   2.092    -1958.73     -313.33     2419.06     3128.37
   1.799   0.241   1.043   2.093    -1916.97     -309.12     2435.94     3115.15
   1.805   0.242   1.036   2.095    -1875.42     -304.94     2452.69     3102.56
   1.811   0.243   1.028   2.096    -1834.07     -300.78     2469.34     3090.62
   1.817   0.244   1.020   2.097    -1792.91     -296.63     2485.88     3079.31
   1.822   0.245   1.011   2.099    -1751.93     -292.50     2502.33     3068.62
   1.828   0.246   1.003   2.100    -1711.11     -288.39     2518.68     3058.57
   1.834   0.247   0.995   2.101    -1670.46     -284.29     2534.96     3049.14
   1.839   0.248   0.987   2.102    -1629.95     -280.21     2551.15     3040.33
   1.844   0.249   0.978   2.102    -1589.58     -276.13     2567.28     3032.15
   1.849   0.250   0.970   2.103    -1549.33     -272.08     2583.33     3024.58
   1.855   0.251   0.961   2.104    -1509.21     -268.03     2599.33     3017.62
   1.859   0.251   0.952   2.104    -1469.19     -263.99     2615.27     3011.28
   1.864   0.252   0.944   2.105    -1429.26     -259.96     2631.16     3005.56
   1.869   0.253   0.935   2.105    -1389.43     -255.94     2647.00     3000.44
   1.874   0.254   0.926   2.105    -1349.67     -251.93     2662.81     2995.93
   1.878   0.255   0.917   2.105    -1309.98     -247.92     2678.58     2992.03
   1.882   0.256   0.908   2.106    -1270.34     -243.92     2694.31     2988.74
   1.886   0.257   0.899   2.105    -1230.75     -239.92     2710.03     2986.06
