 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   1.263   0.310   1.310   1.846    -5447.01     -575.00      789.28     5533.85
   1.273   0.311   1.309   1.852    -5367.68     -562.47      835.19     5461.31
   1.282   0.312   1.307   1.858    -5289.48     -550.15      880.03     5390.34
   1.292   0.313   1.305   1.863    -5212.37     -538.05      923.83     5320.88
   1.302   0.314   1.304   1.869    -5136.33     -526.14      966.63     5252.91
   1.312   0.315   1.302   1.875    -5061.34     -514.43     1008.46     5186.40
   1.322   0.316   1.300   1.880    -4987.37     -502.91     1049.34     5121.32
   1.331   0.317   1.298   1.886    -4914.42     -491.57     1089.29     5057.64
   1.341   0.318   1.295   1.891    -4842.44     -480.42     1128.36     4995.32
   1.351   0.319   1.293   1.897    -4771.44     -469.45     1166.56     4934.35
   1.360   0.320   1.291   1.902    -4701.37     -458.65     1203.92     4874.70
   1.370   0.321   1.288   1.908    -4632.23     -448.02     1240.46     4816.33
   1.380   0.322   1.285   1.913    -4564.00     -437.55     1276.21     4759.23
   1.389   0.323   1.283   1.918    -4496.65     -427.25     1311.20     4703.36
   1.399   0.324   1.280   1.923    -4430.17     -417.10     1345.43     4648.72
   1.408   0.325   1.277   1.928    -4364.54     -407.11     1378.94     4595.26
   1.418   0.325   1.274   1.934    -4299.74     -397.26     1411.76     4542.97
   1.427   0.326   1.271   1.939    -4235.75     -387.56     1443.88     4491.83
   1.437   0.327   1.267   1.943    -4172.56     -378.00     1475.35     4441.82
   1.446   0.328   1.264   1.948    -4110.14     -368.58     1506.18     4392.91
   1.455   0.329   1.261   1.953    -4048.49     -359.29     1536.38     4345.09
   1.465   0.330   1.257   1.958    -3987.58     -350.14     1565.98     4298.34
   1.474   0.330   1.253   1.963    -3927.41     -341.11     1594.99     4252.64
   1.483   0.331   1.250   1.967    -3867.95     -332.21     1623.44     4207.96
   1.492   0.332   1.246   1.972    -3809.18     -323.43     1651.34     4164.30
   1.501   0.333   1.242   1.976    -3751.10     -314.77     1678.70     4121.63
   1.510   0.334   1.237   1.981    -3693.68     -306.22     1705.55     4079.95
   1.519   0.334   1.233   1.985    -3636.91     -297.79     1731.90     4039.22
   1.528   0.335   1.229   1.990    -3580.79     -289.47     1757.76     3999.44
   1.537   0.336   1.224   1.994    -3525.28     -281.25     1783.16     3960.60
   1.546   0.336   1.220   1.998    -3470.39     -273.13     1808.09     3922.68
   1.555   0.337   1.215   2.002    -3416.09     -265.12     1832.60     3885.66
   1.564   0.338   1.210   2.006    -3362.37     -257.21     1856.67     3849.53
   1.572   0.338   1.206   2.010    -3309.21     -249.39     1880.33     3814.28
   1.581   0.339   1.201   2.014    -3256.62     -241.67     1903.59     3779.89
   1.590   0.340   1.195   2.018    -3204.56     -234.03     1926.46     3746.36
   1.598   0.340   1.190   2.022    -3153.03     -226.49     1948.96     3713.67
   1.607   0.341   1.185   2.025    -3102.01     -219.03     1971.11     3681.80
   1.615   0.342   1.180   2.029    -3051.49     -211.65     1992.90     3650.76
   1.623   0.342   1.174   2.032    -3001.47     -204.35     2014.35     3620.52
   1.632   0.343   1.168   2.036    -2951.92     -197.14     2035.49     3591.08
   1.640   0.343   1.163   2.039    -2902.83     -189.99     2056.31     3562.43
   1.648   0.344   1.157   2.043    -2854.20     -182.93     2076.82     3534.55
   1.656   0.344   1.151   2.046    -2806.00     -175.93     2097.05     3507.45
   1.664   0.345   1.145   2.049    -2758.24     -169.01     2116.99     3481.11
   1.672   0.345   1.139   2.052    -2710.89     -162.15     2136.66     3455.51
   1.680   0.346   1.133   2.055    -2663.95     -155.36     2156.08     3430.66
   1.687   0.346   1.126   2.058    -2617.39     -148.63     2175.24     3406.54
   1.695   0.347   1.120   2.061    -2571.23     -141.96     2194.16     3383.15
   1.703   0.347   1.113   2.064    -2525.42     -135.35     2212.85     3360.47
   1.710   0.347   1.107   2.066    -2479.99     -128.80     2231.32     3338.52
   1.717   0.348   1.100   2.069    -2434.89     -122.31     2249.57     3317.26
   1.725   0.348   1.093   2.071    -2390.14     -115.86     2267.62     3296.71
   1.732   0.348   1.086   2.074    -2345.71     -109.47     2285.48     3276.85
   1.739   0.349   1.079   2.076    -2301.59     -103.13     2303.14     3257.67
   1.746   0.349   1.072   2.078    -2257.78      -96.84     2320.63     3239.18
   1.753   0.349   1.065   2.081    -2214.27      -90.59     2337.95     3221.36
   1.760   0.350   1.058   2.083    -2171.03      -84.39     2355.10     3204.21
   1.767   0.350   1.050   2.085    -2128.07      -78.23     2372.10     3187.73
   1.773   0.350   1.043   2.087    -2085.37      -72.11     2388.95     3171.91
   1.780   0.350   1.035   2.088    -2042.92      -66.03     2405.65     3156.75
   1.786   0.351   1.027   2.090    -2000.71      -59.99     2422.23     3142.23
   1.792   0.351   1.020   2.092    -1958.73      -53.98     2438.67     3128.37
   1.799   0.351   1.012   2.093    -1916.97      -48.00     2455.00     3115.15
   1.805   0.351   1.004   2.095    -1875.42      -42.06     2471.22     3102.56
   1.811   0.351   0.996   2.096    -1834.07      -36.15     2487.33     3090.62
   1.817   0.351   0.988   2.097    -1792.91      -30.26     2503.33     3079.31
   1.822   0.351   0.980   2.099    -1751.93      -24.41     2519.25     3068.62
   1.828   0.351   0.971   2.100    -1711.11      -18.57     2535.07     3058.57
   1.834   0.352   0.963   2.101    -1670.46      -12.77     2550.82     3049.14
   1.839   0.352   0.955   2.102    -1629.95       -6.98     2566.49     3040.33
   1.844   0.352   0.946   2.102    -1589.58       -1.22     2582.08     3032.15
   1.849   0.352   0.938   2.103    -1549.33        4.53     2597.62     3024.58
   1.855   0.352   0.929   2.104    -1509.21       10.26     2613.09     3017.62
   1.859   0.351   0.920   2.104    -1469.19       15.97     2628.51     3011.28
   1.864   0.351   0.912   2.105    -1429.26       21.67     2643.88     3005.56
   1.869   0.351   0.903   2.105    -1389.43       27.35     2659.21     3000.44
   1.874   0.351   0.894   2.105    -1349.67       33.03     2674.49     2995.93
   1.878   0.351   0.885   2.105    -1309.98       38.69     2689.75     2992.03
   1.882   0.351   0.876   2.106    -1270.34       44.34     2704.97     2988.74
   1.886   0.351   0.867   2.105    -1230.75       49.99     2720.17     2986.06
   1.891   0.351   0.858   2.105    -1191.19       55.64     2735.34     2983.98
   1.894   0.350   0.848   2.105    -1151.66       61.27     2750.50     2982.51
   1.898   0.350   0.839   2.105    -1112.14       66.91     2765.65     2981.64
   1.902   0.350   0.830   2.104    -1072.63       72.55     2780.79     2981.38
   1.905   0.350   0.820   2.104    -1033.11       78.18     2795.93     2981.72
   1.909   0.349   0.811   2.103     -993.58       83.82     2811.06     2982.67
   1.912   0.349   0.802   2.103     -954.02       89.46     2826.20     2984.22
